FormName,FormFreq,Username,Know what is expected of you as a worker,Help build a team as a working unit,Determine what is expected of you on the job,"Know how things ""really work"" inside an organisation",Work under pressure,Master an organisation's slang and special jargon,Manage conflict among group members,Understand what all of the duties of your role entail,Solve new and difficult problems,Work under extreme cricumstances,Understand the politics in the organisation,Continue to learn once you're on the job,Develop cooperative working relationships with others,Invent new ways of doing things,Solve most problems even though no solution is immediately apparent,Find out exactly what a problem is when fist becoming aware of it,Listen effectively to gain information,Know an organisation's long-held traditions,Work well in situations that other people consider stressful,Understand the behaviour appropriate to your role,Challenge things that are done by the book,Learn from your mistakes,Solve problems no matter how complex,Coordinate tasks within you work group,Learn to improve on your past performance,Be sensitive to other's feelings and attitudes,Function well at work even when faced with personal difficulties,Concentrate on what someone is saying to you even though other things could distract you,Listen effectively to understand opposing points of view,Have the skills and abilities to do my job properly,Date,Date GMT,ID,Learning,Problem solving,Pressure,Role expectations,Teamwork,Sensitivity,Work politics,
Autistica - Work: Self Confidence,120,22222222,5,4,4,5,4,,4,5,3,4,5,4,5,3,5,4,5,4,3,5,4,5,5,5,5,4,3,5,2,4,29th October 2019 11:54 am,29th October 2019 11:54 am,573,4.5,4.66666666666667,3.75,4,4.25,3.25,4,
Autistica - Work: Self Confidence,120,22222222,3,1,2,1,1,3,2,1,3,2,4,3,2,4,2,1,4,3,1,1,2,3,2,1,1,3,2,1,3,2,29th October 2019 11:53 am,29th October 2019 11:53 am,572,2,2.16666666666667,2.25,2.5,1.75,2.5,1.75,
Autistica - Work: Self Confidence,120,11111111,2,4,3,4,5,2,1,2,3,4,5,4,3,2,3,4,5,,5,5,5,5,4,2,1,4,5,3,5,5,9th September 2019 6:27 pm,9th September 2019 6:27 pm,553,4,3.83333333333333,3.75,3.25,2.25,3.75,3.5,
Autistica - Work: Self Confidence,120,12077101,1,4,5,3,2,4,1,4,2,1,,5,1,2,3,5,1,1,5,1,2,3,5,4,1,2,4,3,2,2,22nd August 2019 9:16 am,22nd August 2019 9:16 am,533,2.5,2.83333333333333,2,2.5,2.75,2.25,3.5,
Autistica - Work: Self Confidence,120,38961843,5,4,4,5,1,3,2,5,3,4,5,4,5,3,3,4,5,4,3,5,4,3,5,5,5,4,5,1,1,4,20th August 2019 9:16 am,20th August 2019 9:16 am,528,3.75,4,3.5,4,4.25,3.5,3.5,
Autistica - Work: Self Confidence,120,67611589,3,1,2,1,5,2,1,1,3,2,4,3,2,4,3,5,1,3,1,1,2,3,2,1,1,2,4,3,5,2,18th August 2019 9:16 am,18th August 2019 9:16 am,523,2.75,2.5,2.5,2.5,1.75,3.5,1.5,
Autistica - Work: Self Confidence,120,32500162,2,4,3,4,2,4,1,2,3,4,5,4,3,2,3,4,5,,5,5,5,5,4,2,1,4,5,3,2,5,15th August 2019 9:16 am,15th August 2019 9:16 am,518,3.25,3.83333333333333,4.25,3.25,2.25,3,3.5,
Autistica - Work: Self Confidence,120,90705766,1,4,5,3,1,3,2,4,2,1,,5,1,2,3,5,1,1,5,1,2,3,5,4,1,2,4,1,2,2,12th August 2019 9:16 am,12th August 2019 9:16 am,513,2.25,2.83333333333333,1.25,2.5,2.75,2.25,3.75,
Autistica - Work: Self Confidence,120,46465154,5,4,4,5,5,2,1,5,3,4,5,4,5,3,3,4,5,4,3,5,4,2,5,5,5,4,5,3,3,4,10th August 2019 9:16 am,10th August 2019 9:16 am,508,4.75,3.83333333333333,3.75,4,4.25,4,3.25,
Autistica - Work: Self Confidence,120,22222222,3,1,2,1,2,4,1,1,3,2,4,3,2,4,3,5,1,3,1,1,2,3,2,1,1,2,4,3,5,2,9th August 2019 9:16 am,9th August 2019 9:16 am,503,2,2.5,3,2.5,1.75,3.5,1.5,
Autistica - Work: Self Confidence,120,11111111,2,4,3,4,1,3,2,2,3,4,5,4,3,2,3,4,5,,5,5,5,5,4,2,1,4,5,1,3,5,4th August 2019 9:16 am,4th August 2019 9:16 am,498,3,3.83333333333333,3.5,3.25,2.25,3.25,3.75,
Autistica - Work: Self Confidence,120,12077101,1,4,5,3,5,2,1,4,2,1,,5,1,2,3,5,1,1,5,1,2,3,5,4,1,2,4,3,2,2,1st August 2019 9:16 am,1st August 2019 9:16 am,493,3.25,2.83333333333333,1.5,2.5,2.75,2.25,3.5,
Autistica - Work: Self Confidence,120,38961843,5,4,4,5,2,4,1,5,3,4,5,4,5,3,3,4,5,4,3,5,4,2,5,5,5,4,5,3,1,4,22nd July 2019 9:16 am,22nd July 2019 9:16 am,488,4,3.83333333333333,4.25,4,4.25,3.5,3.25,
Autistica - Work: Self Confidence,120,67611589,3,1,2,1,1,3,2,1,3,2,4,3,2,4,3,5,1,3,1,1,2,3,2,1,1,2,4,1,2,2,20th July 2019 9:16 am,20th July 2019 9:16 am,483,1.75,2.5,2.25,2.5,1.75,2.75,1.75,
Autistica - Work: Self Confidence,120,32500162,2,4,3,4,5,2,1,2,3,4,5,4,3,2,3,4,5,,5,5,5,5,4,2,1,4,5,3,2,5,18th July 2019 9:16 am,18th July 2019 9:16 am,478,4,3.83333333333333,3.75,3.25,2.25,3,3.5,
