FormName,FormFreq,Username,Q1,Q2,Q3,Q4,Q5,Date,ID
Autistica - Adjustments,7,22222222,My manager sucks,I was able to use text instead of speech to interact in the meeting,Examples of good adjustments include: Avoid working in areas with fluorescent strip lighting,I saw a story about a: a mathematic genius,I can’t think of any right now,1/1/19,1
Autistica - Adjustments,7,11111111,I asked for instructions to be written down but they are still provided verbally,I haven’t had any success,I have tried the following: Using an internal advocate who can communicate on behalf of the employee,I watched a film about: difficulty in switching between tasks,Not sure what to say,1/1/19,2
Autistica - Adjustments,7,12077101,Every birthday my office buys me cake but I don't eat cake,I have been told that I have had a successful week but I really don’t understand why. It would be helpful if people told me about why so that I could replicate it,Here are some things that have helped Ergonomic wrist rest and keyboard.,I watched a film about: low income and employment for autistic people,I would like to upgrade this app,1/1/19,3
Autistica - Adjustments,7,38961843,"Communciation styles are where there are misunderstnadings. I am an introvert, they are an extrovert",It's so frustrating because I feel that I am close to success but it never really happens,Here are some things that have helped Access to other job opportunities within the company,I watched a film about: superior focus,Not sure what to say,1/1/19,4
Autistica - Adjustments,7,67611589,I've asked my co-workers not to wear so much perfume and it makes me feel queasy but they have refused,I worked in the quite room and that was very productive,What has really helped is: Advanced notice of changes,I watched a film about: a cyber hacker,Really enjoying this app,1/1/19,5
Autistica - Adjustments,7,32500162,My manager sucks,I was successufl in extending my contract,I have tried the following: Online accessible resources about getting up to speed in a new role,My friend told me about another friend who said that:  excellent autistic creativity,Really enjoying this app,1/1/19,6
Autistica - Adjustments,7,90705766,I had to do training on fire and safety even though I completed three months ago,I was praised by my coworkers but not my manager,Examples of good adjustments include: Extra breaks to manage cognitive overload and processing speeds,My friend told me about another friend who said that:  superior focus,I can’t think of any right now,1/1/19,7
Autistica - Adjustments,7,46465154,We had an overnight hackathon and there were not enough vegan options,I haven’t had any success,Some things which I have tried are: Repositioning of desk (e.g. in corner to avoid being startled),I saw a story about a: a mathematic genius,Visualisations are nice,1/1/19,8
Autistica - Adjustments,7,36480781,I was distracted by the patterns on the walls of my office but no one understands why they are distracting for me,It's so frustrating because I feel that I am close to success but it never really happens,I would like to have more of: A team culture of quieter lunchtime conversations,I read a newspaper article about: difficulty in switching between tasks,I would like to upgrade this app,1/1/19,9
Autistica - Adjustments,7,86004302,I was distracted by the patterns on the walls of my office but no one understands why they are distracting for me,I was successful in factoring in enough time to arrive at meetings without feeling flushed,I've not had much success asking for the following: Visual partitions of workspace (i.e. to minimise distraction and sound),I saw a story about a: difficulty in switching between tasks,I'm finding this app sort of helpful,1/1/19,10
Autistica - Adjustments,7,74046800,I don’t like cookies but my team keeps celebrating cookies,I was successful in meeting my deadlines,I've not had much success asking for the following: Site blocker software to avoid internet distractions,I saw a story about a: low income and employment for autistic people,Really enjoying this app,1/1/19,11
Autistica - Adjustments,7,67512682,Communication is not happening the way I have requested,I have felt less depressed,I have requested this: Online accessible resources about getting up to speed in a new role,I saw a story about a: difficulty in switching between tasks,Not sure what to say,1/1/19,12
Autistica - Adjustments,7,87436666,"I think there could be better communication, when I get instructions verbally I am overwhelmed",My typing speed has increased a lot,I would like to have more of: Reduced overnight stays,"I saw another study involving autism in mice, this is unhelpful as mice are not complex social creatures",Really enjoying this app,1/1/19,13
Autistica - Adjustments,7,28755653,I love my manager's work ethic because they get the best out of me but I don’t like to be made the centre of attention when I am successful,I feel really depressed that I have only been told that I have failed,I have requested this: Ability to control temperature,I read that autism is being diagnosed more often,Visualisations are nice,1/1/19,14
Autistica - Adjustments,7,66722819,We had an overnight hackathon and there were not enough vegan options,I was successful in meeting my deadlines,I would like to have more of: Software to improve accessibility (e.g. screen reader),I watched a video about autism and employment,Really enjoying this app,1/1/19,15
Autistica - Adjustments,7,65438804,People start working too early in the morning and my request to start later was refused,I enjoyed my work this week,I would like to have more of: One questions at a time,I have not seen anything in the media about autism,Not sure what to say,1/1/19,16
Autistica - Adjustments,7,15938146,My manager often criticises me,I was successful in factoring in enough time to arrive at meetings without feeling flushed,"What has really helped is: Accurate job descriptions (e.g. not emphasising social presentation skills when not necessary, clarifying likelihood of taking on additional responsibilities)",There should be more news about autism,Nope,1/1/19,17
Autistica - Adjustments,7,37603401,I asked for instructions to be written down but they are still provided verbally,I was praised by my coworkers but not my manager,I would like to have more of: Avoid working in areas with fluorescent strip lighting,I heard this story about a gender bias in diagnosing autism,I would like to upgrade this app,1/1/19,18
Autistica - Adjustments,7,23337145,"Communciation styles are where there are misunderstnadings. I am an introvert, they are an extrovert",I was able to network well this week which I usually struggle with,I've not had much success asking for the following: Longer time to familiarise with new routine when there are changes,I read a newspaper article about: a cyber hacker,I think there should be more research in to employment opportunities,1/1/19,19
Autistica - Adjustments,7,99599196,People start working too early in the morning and my request to start later was refused,I changed the way I work and it has led to more prodcutivity,I have tried the following: Maximise personal space where possible (e.g. spaced out seating in meetings),I read a newspaper article about: low income and employment for autistic people,I can’t think of any right now,1/1/19,20
Autistica - Adjustments,7,25718877,I asked for deadlines but I was not given them. ,It's so frustrating because I feel that I am close to success but it never really happens,I have tried the following: Clear signage throughout building and designated quiet areas,I watched a film about: difficulty in switching between tasks,Nope,1/1/19,21
Autistica - Adjustments,7,97909632,I don’t like cookies but my team keeps celebrating cookies,I have successfully managed a team to complete a project,I would like to have more of: Noise-cancelling headphones,I saw a story about a: excellent autistic creativity,Not sure what to say,1/1/19,22
Autistica - Adjustments,7,40268226,We had an overnight hackathon and there were not enough vegan options,I have felt less depressed,What has really helped is: Allocated parking space,I read a newspaper article about: a cyber hacker,I can’t think of any right now,1/1/19,23
Autistica - Adjustments,7,63985686,Not sure what to say,It's so frustrating because I feel that I am close to success but it never really happens,What has really helped is: No role-play on training courses,I watched a film about: superior focus,Nope,1/1/19,24
Autistica - Adjustments,7,63237915,Communication is not happening the way I have requested,I feel really depressed that I have only been told that I have failed,"I've not had much success asking for the following: Accurate job descriptions (e.g. not emphasising social presentation skills when not necessary, clarifying likelihood of taking on additional responsibilities)",I watched a film about: difficulty in switching between tasks,I think there should be more research in to employment opportunities,1/1/19,25
Autistica - Adjustments,7,50544037,I asked not to be moved to another team but this was rejected,I was able to network well this week which I usually struggle with,Examples of good adjustments include: Frequent feedback,My friend told me about another friend who said that:  difficulty in switching between tasks,I think there has been enough research on younger populations,1/1/19,26
Autistica - Adjustments,7,14286843,I'm really sensitive to noise and asked to be seated away from the kitchen but this was refused,I have more confidence in meetings,"Here are some things that have helped Accurate job descriptions (e.g. not emphasising social presentation skills when not necessary, clarifying likelihood of taking on additional responsibilities)",I read a newspaper article about: bad parenting,I'm finding this app sort of helpful,1/1/19,27
Autistica - Adjustments,7,53175760,Really not a fan of the strip lighting being used but everyone keeps turning the lights on after I have turned it off,I was able to use text instead of speech to interact in the meeting,Some things which I have tried are: Ability to control temperature,I saw a story about a: a cyber hacker,I think there should be more research in to employment opportunities,1/1/19,28
Autistica - Adjustments,7,56361261,My manager often criticises me,I feel really depressed that I have only been told that I have failed,"Some things which I have tried are: Online access to further information about sources of support for job role, mental health and wellbeing",My friend told me about another friend who said that:  a cyber hacker,I think there has been enough research on younger populations,1/1/19,29
Autistica - Adjustments,7,66411825,I asked not to be moved to another team but this was rejected,Not many successes to report unfortunately ,Here are some things that have helped Allocated desk (i.e. in otherwise hot-desking environment),I saw a story about a: bad parenting,Not sure what to say,1/1/19,30
Autistica - Adjustments,7,34060153,I asked for instructions to be written down but they are still provided verbally,I was successufl in extending my contract,Some things which I have tried are: Colleagues refrain from wearing strong perfumes if asked,I watched a film about: low income and employment for autistic people,Not sure what to say,1/1/19,31
Autistica - Adjustments,7,11168511,I was reallocated a new desk even though I liked my old desk,I have been told that I have had a successful week but I really don’t understand why. It would be helpful if people told me about why so that I could replicate it,I have requested this: Desk fan,I read a newspaper article about: excellent autistic creativity,Nope,1/1/19,32
Autistica - Adjustments,7,85920205,We had an overnight hackathon and there were not enough vegan options,I have successfully managed a team to complete a project,I have requested this: A team culture of not eating lunch at desks,I watched a film about: difficulty in switching between tasks,I think there has been enough research on younger populations,1/1/19,33
Autistica - Adjustments,7,83766303,Not sure what to say,I have more confidence in meetings,What has really helped is: Training staff on neurodiversity and specific needs,My friend told me about another friend who said that:  difficulty in switching between tasks,I think there should be more research in to employment opportunities,1/1/19,34
Autistica - Adjustments,7,64793738,I don’t like socialising but it is compulsory to network as part of my job,I have reduced the arguments I have with people,I've not had much success asking for the following: Online accessible resources about getting up to speed in a new role,I saw a story about a: a cyber hacker,I would like to upgrade this app,1/1/19,35
Autistica - Adjustments,7,59096037,"I think there could be better communication, when I get instructions verbally I am overwhelmed",I feel really depressed that I have only been told that I have failed,I've not had much success asking for the following: Set hours for responding to emails,I read a newspaper article about: low income and employment for autistic people,Really enjoying this app,1/1/19,36
Autistica - Adjustments,7,77773077,I wasn't sure what to wear to a social event but in the end my chicken costume was perfect for the clients,I worked in the quite room and that was very productive,Examples of good adjustments include: Repositioning of desk (e.g. in corner to avoid being startled),My friend told me about another friend who said that:  a cyber hacker,Not sure what to say,1/1/19,37
Autistica - Adjustments,7,47375033,"Communciation styles are where there are misunderstnadings. I am an introvert, they are an extrovert",I have reduced the arguments I have with people,Some things which I have tried are: Reduced overnight stays,I saw a story about a: low income and employment for autistic people,Really enjoying this app,1/1/19,38
Autistica - Adjustments,7,39847852,Sometime people misread my facial expressions,I haven’t had any success,I've not had much success asking for the following: Ensuring all team members understand and respect adjustments in absence of manager,I read a newspaper article about: superior focus,Really enjoying this app,1/1/19,39
Autistica - Adjustments,7,68971632,I asked for deadlines but I was not given them. ,I ate less gluten which is harder than it sounds,I have requested this: Process for having concerns recorded and taken seriously,I read a newspaper article about: a mathematic genius,I think there should be better pathways to requesting adjustments,1/1/19,40
Autistica - Adjustments,7,22090963,I asked not to be moved to another team but this was rejected,I changed the way I work and it has led to more prodcutivity,I have requested this: Flexibility to eat lunch separately from colleagues,I watched a film about: low income and employment for autistic people,I think there should be better pathways to requesting adjustments,1/1/19,41
