FormName,FormFreq,Username,Know what is expected of you as a worker,Help build a team as a working unit,Determine what is expected of you on the job,"Know how things ""really work"" inside an organisation",Work under pressure,Master an organisation's slang and special jargon,Manage conflict among group members,Understand what all of the duties of your role entail,Solve new and difficult problems,Work under extreme cricumstances,Understand the politics in the organisation,Continue to learn once you're on the job,Develop cooperative working relationships with others,Invent new ways of doing things,Solve most problems even though no solution is immediately apparent,Find out exactly what a problem is when fist becoming aware of it,Listen effectively to gain information,Know an organisation's long-held traditions,Work well in situations that other people consider stressful,Understand the behaviour appropriate to your role,Challenge things that are done by the book,Learn from your mistakes,Solve problems no matter how complex,Coordinate tasks within you work group,Learn to improve on your past performance,Be sensitive to other's feelings and attitudes,Function well at work even when faced with personal difficulties,Concentrate on what someone is saying to you even though other things could distract you,Listen effectively to understand opposing points of view,Have the skills and abilities to do my job properly,Date,ID,Learning,Problemsolving,Pressure,Roleexpectations,Teamwork,Sensitivity,Workpolitics
Autistica - Work: Self Confidence,120,22222222,2,3,2,3,2,2,2,3,3,2,3,2,3,3,2,3,3,2,3,3,3,2,2,3,3,2,2,3,3,2,01/01/2019,1,2.25,2.5,2.75,2.5,3,2.25,2.5
Autistica - Work: Self Confidence,120,11111111,3,2,3,3,2,3,2,3,2,2,2,3,3,3,2,3,3,3,2,3,2,2,3,2,3,3,2,3,3,2,01/01/2019,2,2.75,2.333333333,2.75,2.5,2.75,2.5,2.5
Autistica - Work: Self Confidence,120,12077101,2,2,2,3,3,2,2,2,2,2,3,3,2,3,3,3,3,3,2,2,2,2,3,2,3,3,3,2,3,3,01/01/2019,3,2.75,2.5,2.25,2,2.5,3,2.5
Autistica - Work: Self Confidence,120,38961843,2,2,3,3,3,3,3,2,2,2,2,2,2,3,2,2,3,2,2,3,3,2,3,3,2,3,3,2,3,2,01/01/2019,4,2.75,2.333333333,2.5,2.5,2.25,2.5,2.5
Autistica - Work: Self Confidence,120,67611589,2,3,2,3,2,2,2,3,3,2,3,3,3,2,2,3,3,3,2,2,2,2,2,3,3,2,3,3,3,3,01/01/2019,5,2.25,2.5,2.5,2.25,2.75,3,2.5
Autistica - Work: Self Confidence,120,32500162,3,3,2,2,2,3,3,2,2,3,2,3,2,2,3,2,3,3,2,2,3,2,2,2,2,2,3,2,2,2,01/01/2019,6,2,2.5,2.25,2.5,2.25,2.5,2.5
Autistica - Work: Self Confidence,120,90705766,3,3,3,2,3,2,2,3,3,3,2,2,3,2,3,2,2,2,3,3,2,3,3,3,2,2,3,2,2,2,01/01/2019,7,2.75,2.666666667,2.25,2.75,2.5,2.25,2.25
Autistica - Work: Self Confidence,120,46465154,2,3,3,2,3,2,2,3,3,3,2,3,2,3,2,2,2,3,3,2,2,2,3,2,2,3,2,3,2,3,01/01/2019,8,2.75,2.166666667,2.25,2.5,2.75,2.5,2.5
Autistica - Work: Self Confidence,120,36480781,3,3,3,3,2,3,2,2,3,3,2,2,3,3,3,3,2,2,2,2,3,3,3,3,3,2,3,3,2,3,01/01/2019,9,2.5,2.833333333,2.5,3,2.75,2.5,2.25
Autistica - Work: Self Confidence,120,86004302,2,3,3,2,3,3,2,3,2,2,2,3,2,2,3,3,2,3,3,2,3,2,3,2,3,3,3,3,2,3,01/01/2019,10,2.75,2.333333333,2.5,2.5,2.75,2.75,2.5
Autistica - Work: Self Confidence,120,74046800,2,3,3,3,3,2,3,3,3,3,2,2,3,3,3,2,2,2,3,3,3,3,2,2,2,3,2,2,3,3,01/01/2019,11,2.75,2.5,2.25,2.75,2.75,2.5,2.75
Autistica - Work: Self Confidence,120,67512682,3,3,3,2,2,3,2,2,2,3,3,3,2,3,3,3,3,3,3,3,2,3,3,3,2,2,3,2,3,3,01/01/2019,12,2.25,3,2.75,2.5,2.5,3,2.5
Autistica - Work: Self Confidence,120,87436666,2,3,2,2,3,2,3,2,3,3,2,3,3,3,2,3,3,3,2,3,3,2,2,3,3,2,3,2,3,3,01/01/2019,13,2.5,2.666666667,2.25,2.5,2.75,3,2.5
Autistica - Work: Self Confidence,120,28755653,3,2,3,3,2,2,2,2,2,3,3,3,3,3,2,3,2,3,2,2,2,3,2,3,2,3,3,3,2,3,01/01/2019,14,2.5,2.666666667,2.5,2.5,2.25,2.75,2.5
Autistica - Work: Self Confidence,120,66722819,3,3,2,3,2,2,2,2,2,2,3,3,3,2,2,3,2,3,3,2,2,2,3,3,2,3,2,2,3,2,01/01/2019,15,2.75,2.333333333,2.25,2.25,2.25,2.5,2.75
Autistica - Work: Self Confidence,120,65438804,3,2,2,3,2,3,3,2,2,2,2,3,2,2,2,3,3,2,2,2,3,2,2,2,2,3,2,3,3,2,01/01/2019,16,2.25,2.333333333,2.5,2.5,2,2.25,2.75
Autistica - Work: Self Confidence,120,15938146,2,3,3,2,2,2,3,3,2,2,2,3,3,2,3,2,2,3,2,3,2,3,3,2,2,2,3,3,2,3,01/01/2019,17,2.5,2.333333333,2.5,2.25,2.5,2.75,2.5
Autistica - Work: Self Confidence,120,37603401,2,2,3,3,3,3,3,2,3,2,3,3,2,2,2,3,3,3,2,3,3,3,3,2,3,2,2,3,3,2,01/01/2019,18,2.5,2.5,3,2.75,2.25,2.5,2.75
Autistica - Work: Self Confidence,120,23337145,3,2,2,3,2,2,2,3,3,3,2,3,3,2,2,3,2,3,2,3,3,3,2,2,3,3,3,3,2,2,01/01/2019,19,2.5,2.5,2.5,2.75,2.5,2.5,2.5
Autistica - Work: Self Confidence,120,99599196,3,3,3,3,3,3,2,2,3,2,2,2,2,2,3,2,2,3,3,3,3,2,3,2,2,3,2,3,3,3,01/01/2019,20,2.75,2.166666667,2.75,3,2.25,2.75,2.5
Autistica - Work: Self Confidence,120,25718877,3,3,2,3,3,2,3,2,3,3,2,2,2,2,3,2,2,2,2,2,3,2,2,3,2,3,2,3,2,2,01/01/2019,21,2.5,2.5,2.25,2.75,2.25,2,2.5
Autistica - Work: Self Confidence,120,97909632,2,3,3,3,3,3,3,3,3,3,3,2,3,3,2,3,3,3,2,3,3,3,2,3,2,2,2,2,3,3,01/01/2019,22,2.5,2.833333333,2.75,2.75,2.75,2.75,2.5
