FormName,FormFreq,Username,The people I work with have excellent knowledge of autism,"I feel that if a new person was to join the team and they disclosed they were autistic, they would be well supported and understood by others",I feel that the management of the team are constantly improving their knowledge about autism,It is easy to find information within the organisation about supporting autistic employees,There are established pathways for autistic people to seek advice and support for managing their daily work activities,The organisation has been proactive in making adjustments and providing autism awareness training for employees,I think the organisation performs better than other organisations in the sector in terms of quality of support for autistic employees,Date,ID,Average
Autistica - Organisational Culture,30,22222222,1,1,1,1,4,4,4,1/1/19,1,2.28571428571429
Autistica - Organisational Culture,30,11111111,1,1,1,1,4,1,4,1/1/19,2,1.85714285714286
Autistica - Organisational Culture,30,12077101,4,1,1,4,4,4,4,1/1/19,3,3.14285714285714
Autistica - Organisational Culture,30,38961843,1,1,4,1,1,1,4,1/1/19,4,1.85714285714286
Autistica - Organisational Culture,30,67611589,1,4,4,4,4,1,1,1/1/19,5,2.71428571428571
Autistica - Organisational Culture,30,32500162,4,4,4,1,4,1,4,1/1/19,6,3.14285714285714
Autistica - Organisational Culture,30,90705766,4,4,1,4,1,4,1,1/1/19,7,2.71428571428571
Autistica - Organisational Culture,30,46465154,1,4,1,1,4,1,4,1/1/19,8,2.28571428571429
Autistica - Organisational Culture,30,36480781,4,4,4,1,1,1,1,1/1/19,9,2.28571428571429
Autistica - Organisational Culture,30,86004302,1,1,1,4,1,1,4,1/1/19,10,1.85714285714286
Autistica - Organisational Culture,30,74046800,1,4,4,4,4,1,1,1/1/19,11,2.71428571428571
Autistica - Organisational Culture,30,67512682,4,1,4,4,4,4,1,1/1/19,12,3.14285714285714
Autistica - Organisational Culture,30,87436666,1,4,4,1,4,4,1,1/1/19,13,2.71428571428571
Autistica - Organisational Culture,30,28755653,4,4,1,4,1,1,1,1/1/19,14,2.28571428571429
Autistica - Organisational Culture,30,66722819,1,4,1,1,4,1,1,1/1/19,15,1.85714285714286
Autistica - Organisational Culture,30,65438804,4,1,1,4,1,4,4,1/1/19,16,2.71428571428571
Autistica - Organisational Culture,30,15938146,4,4,1,4,1,1,4,1/1/19,17,2.71428571428571
Autistica - Organisational Culture,30,37603401,4,1,4,4,4,4,1,1/1/19,18,3.14285714285714
Autistica - Organisational Culture,30,23337145,4,4,1,4,4,1,4,1/1/19,19,3.14285714285714
Autistica - Organisational Culture,30,99599196,4,4,4,4,1,1,4,1/1/19,20,3.14285714285714
Autistica - Organisational Culture,30,25718877,1,4,4,1,4,1,4,1/1/19,21,2.71428571428571
Autistica - Organisational Culture,30,97909632,1,1,1,1,1,1,1,1/1/19,22,1
Autistica - Organisational Culture,30,40268226,4,4,1,4,4,4,4,1/1/19,23,3.57142857142857
Autistica - Organisational Culture,30,63985686,1,1,1,1,1,1,4,1/1/19,24,1.42857142857143
Autistica - Organisational Culture,30,63237915,4,4,1,1,1,1,4,1/1/19,25,2.28571428571429
Autistica - Organisational Culture,30,50544037,4,1,4,4,1,1,4,1/1/19,26,2.71428571428571
Autistica - Organisational Culture,30,14286843,4,4,4,4,4,1,4,1/1/19,27,3.57142857142857
Autistica - Organisational Culture,30,53175760,4,4,4,4,4,1,4,1/1/19,28,3.57142857142857
Autistica - Organisational Culture,30,56361261,1,4,1,4,1,1,4,1/1/19,29,2.28571428571429
Autistica - Organisational Culture,30,66411825,1,1,1,1,4,4,1,1/1/19,30,1.85714285714286
Autistica - Organisational Culture,30,34060153,1,4,4,4,4,1,4,1/1/19,31,3.14285714285714
